Age,Gender,Signed_In,Clicks,Impressions,CTR
0,0,0,777451,27414219,0.02835940721127237
3,0,1,0,2,0.0
3,1,1,0,2,0.0
4,0,1,0,8,0.0
5,0,1,0,32,0.0
5,1,1,2,27,0.07407407407407407
6,0,1,2,59,0.03389830508474576
6,1,1,4,112,0.03571428571428571
7,0,1,12,277,0.04332129963898917
7,1,1,19,560,0.033928571428571426
8,0,1,21,814,0.025798525798525797
8,1,1,58,1715,0.03381924198250729
9,0,1,54,2043,0.02643171806167401
9,1,1,153,4641,0.03296703296703297
10,0,1,163,5451,0.02990277013392038
10,1,1,372,11841,0.03141626551811502
11,0,1,363,12816,0.028323970037453183
11,1,1,798,26634,0.029961703086280694
12,0,1,792,26705,0.029657367534169633
12,1,1,1644,55492,0.02962589202047142
13,0,1,1485,48117,0.030862273209052934
13,1,1,3054,101106,0.030205922497181178
14,0,1,2336,76891,0.030380668738864105
14,1,1,4991,168574,0.029607175483763806
15,0,1,3448,114565,0.030096451795923712
15,1,1,7420,247241,0.030011203643408656
16,0,1,4478,152451,0.029373372427862067
16,1,1,9719,326858,0.029734624821788055
17,0,1,5479,180203,0.030404599257504036
17,1,1,11457,383608,0.029866426143354673
18,0,1,6388,355355,0.017976389807375724
18,1,1,7166,392882,0.01823957320518629
19,0,1,4156,423314,0.00981777120529914
19,1,1,4767,471881,0.010102123204791038
20,0,1,4222,424654,0.009942211777117372
20,1,1,4694,472741,0.009929327052233676
21,0,1,4384,428385,0.010233785029821306
21,1,1,4785,473965,0.010095682170624414
22,0,1,4165,424549,0.009810410576870985
22,1,1,4708,473131,0.009950732460988605
23,0,1,4260,425507,0.010011586178370743
23,1,1,4722,473432,0.009973977255445344
24,0,1,2173,212491,0.010226315467478623
24,1,1,2327,234814,0.009909971296430366
25,0,1,2124,213399,0.009953186284846696
25,1,1,2375,238719,0.009948935778048668
26,0,1,4214,423691,0.009945927574576754
26,1,1,4747,472433,0.010047985640291851
27,0,1,4272,425605,0.010037476063486097
27,1,1,4720,473469,0.009968973681487067
28,0,1,4297,425775,0.010092184839410486
28,1,1,4802,473129,0.01014945184082988
29,0,1,4240,424712,0.009983235698543955
29,1,1,4728,472465,0.010007090472310118
30,0,1,4242,426793,0.009939244551808488
30,1,1,4664,473129,0.009857776631743139
31,0,1,4410,424471,0.010389402338440082
31,1,1,4829,474950,0.010167386040635856
32,0,1,4233,425126,0.009957048028114018
32,1,1,4731,472495,0.010012804368300194
33,0,1,4233,424903,0.009962273742477695
33,1,1,4698,474082,0.009909678072569724
34,0,1,2185,212286,0.01029271831397266
34,1,1,2283,235463,0.009695790846120197
35,0,1,2607,258589,0.010081635336383218
35,1,1,2924,288612,0.010131248873920697
36,0,1,5193,519375,0.0099985559566787
36,1,1,5616,581204,0.009662700187885837
37,0,1,5129,519673,0.009869668041249016
37,1,1,6020,581600,0.010350756533700137
38,0,1,5181,516688,0.010027327903880098
38,1,1,5698,579381,0.00983463385923943
39,0,1,5239,518571,0.010102763170327688
39,1,1,5792,578136,0.010018403974151411
40,0,1,5234,518978,0.010085205923950534
40,1,1,5829,577543,0.010092754998329128
41,0,1,5329,521094,0.010226561810345158
41,1,1,5653,577885,0.009782223106673473
42,0,1,5224,516973,0.01010497646879044
42,1,1,5812,579962,0.010021346226132056
43,0,1,5127,521651,0.009828410182286624
43,1,1,5801,575177,0.010085591044148148
44,0,1,2699,259108,0.01041650585856091
44,1,1,2833,290179,0.009762939427043307
45,0,1,2358,237150,0.009943074003795066
45,1,1,2629,260449,0.010094106715710177
46,0,1,4740,471274,0.010057843207985164
46,1,1,5268,524637,0.010041228506567398
47,0,1,4850,474215,0.010227428487078645
47,1,1,5254,525869,0.009991081429025099
48,0,1,4734,471699,0.010036061132205072
48,1,1,5202,524946,0.009909590700757791
49,0,1,4798,472751,0.010149105977565357
49,1,1,5173,526422,0.009826716968515753
50,0,1,4818,473693,0.010171144602094605
50,1,1,5368,527589,0.010174586657417042
51,0,1,4732,473706,0.009989318269137397
51,1,1,5190,524118,0.009902350234107586
52,0,1,4816,474456,0.010150572445073938
52,1,1,5294,526502,0.010055042525954317
53,0,1,4755,469822,0.01012085428098301
53,1,1,5312,525991,0.010099032112716757
54,0,1,2342,235301,0.009953208868640592
54,1,1,2635,262707,0.010030185720213013
55,0,1,3274,165622,0.019767905229981526
55,1,1,3610,184041,0.019615194440369264
56,0,1,6472,329536,0.01963973587104292
56,1,1,7235,366412,0.019745532351560537
57,0,1,6647,330890,0.020088246849406147
57,1,1,7289,365797,0.019926352594471796
58,0,1,6597,331807,0.01988203986052133
58,1,1,7363,367103,0.02005704121186697
59,0,1,6575,330321,0.01990488040421287
59,1,1,7493,367975,0.020362796385624025
60,0,1,6617,330135,0.020043315613309708
60,1,1,7230,367756,0.019659774415645155
61,0,1,6695,328723,0.02036669171308366
61,1,1,7248,368951,0.01964488509314245
62,0,1,6872,332439,0.020671461531288446
62,1,1,7315,367248,0.019918420250076244
63,0,1,6634,329528,0.020131824913209195
63,1,1,7351,367978,0.01997673773975618
64,0,1,3299,164807,0.02001735363182389
64,1,1,3752,181888,0.02062807881773399
65,0,1,2245,76903,0.029192619273630416
65,1,1,2576,84747,0.030396356213199287
66,0,1,6348,207997,0.030519670956792647
66,1,1,3461,113578,0.030472450650654175
67,0,1,6151,206086,0.029846763001853596
67,1,1,3291,110894,0.029676988836185907
68,0,1,5908,199726,0.029580525319687974
68,1,1,3320,110229,0.030119115659218536
69,0,1,5689,190420,0.02987606343871442
69,1,1,3038,103421,0.029375078562380946
70,0,1,5717,186579,0.030641176123786706
70,1,1,3005,99486,0.030205255010755282
71,0,1,5131,173605,0.02955560035713257
71,1,1,2854,94278,0.030272173783915654
72,0,1,4923,162735,0.03025163609549267
72,1,1,2670,89760,0.029745989304812835
73,0,1,4519,150656,0.029995486406117246
73,1,1,2521,81997,0.03074502725709477
74,0,1,4186,139919,0.029917309300380935
74,1,1,2375,76241,0.031151217848664106
75,0,1,3800,127127,0.02989136847404564
75,1,1,2123,68963,0.030784623638762814
76,0,1,3434,113462,0.03026563959739825
76,1,1,1837,62231,0.02951904999116196
77,0,1,3082,102761,0.029991923005809596
77,1,1,1722,56167,0.030658571759218045
78,0,1,2688,89637,0.029987616720773786
78,1,1,1464,49529,0.029558440509600437
79,0,1,2397,78843,0.030402191697423996
79,1,1,1310,42515,0.030812654357285665
80,0,1,1990,66657,0.029854328877687266
80,1,1,1134,37289,0.030411113196921344
81,0,1,1697,57515,0.02950534643136573
81,1,1,1021,31660,0.032248894504106125
82,0,1,1461,49394,0.029578491314734584
82,1,1,782,26814,0.02916386962034758
83,0,1,1149,40778,0.02817695816371573
83,1,1,680,22041,0.030851594755228893
84,0,1,1004,33869,0.029643626915468423
84,1,1,523,19174,0.02727652028788985
85,0,1,798,28147,0.028351156428749066
85,1,1,455,15233,0.029869362568108713
86,0,1,699,23186,0.030147502803415854
86,1,1,404,13308,0.030357679591223326
87,0,1,538,19147,0.028098396615657804
87,1,1,302,10178,0.0296718412261741
88,0,1,411,14680,0.027997275204359674
88,1,1,289,8255,0.03500908540278619
89,0,1,327,11547,0.028319043907508445
89,1,1,165,6435,0.02564102564102564
90,0,1,258,9306,0.027724049000644745
90,1,1,151,4907,0.03077236600774404
91,0,1,210,7111,0.02953171143299114
91,1,1,111,3877,0.028630384317771474
92,0,1,155,5520,0.028079710144927536
92,1,1,115,3199,0.035948733979368555
93,0,1,142,4419,0.03213396696085087
93,1,1,57,2169,0.02627939142461964
94,0,1,104,3109,0.033451270504985524
94,1,1,54,1661,0.0325105358217941
95,0,1,73,2485,0.02937625754527163
95,1,1,31,1373,0.022578295702840496
96,0,1,53,1751,0.03026841804683038
96,1,1,21,921,0.02280130293159609
97,0,1,31,1269,0.02442868400315209
97,1,1,21,651,0.03225806451612903
98,0,1,29,901,0.03218645948945616
98,1,1,17,557,0.03052064631956912
99,0,1,21,650,0.03230769230769231
99,1,1,9,351,0.02564102564102564
100,0,1,8,391,0.020460358056265986
100,1,1,6,251,0.02390438247011952
101,0,1,11,383,0.028720626631853787
101,1,1,8,179,0.0446927374301676
102,0,1,8,217,0.03686635944700461
102,1,1,3,126,0.023809523809523808
103,0,1,6,202,0.0297029702970297
103,1,1,9,118,0.07627118644067797
104,0,1,1,122,0.00819672131147541
104,1,1,4,85,0.047058823529411764
105,0,1,2,49,0.04081632653061224
105,1,1,4,50,0.08
106,0,1,6,102,0.058823529411764705
106,1,1,0,5,0.0
107,0,1,1,16,0.0625
107,1,1,1,14,0.07142857142857142
108,0,1,0,13,0.0
108,1,1,0,20,0.0
109,0,1,0,2,0.0
111,0,1,0,4,0.0
111,1,1,0,9,0.0
112,1,1,0,7,0.0
113,0,1,0,10,0.0
115,0,1,0,9,0.0
